conv_id,emotion,situation,utterance
hit:11355_conv:22710,anxious,My cat had to stay overnight at the vet recently. They had to keep her for x-rays_comma_ I was so worried.,My cat was kept overnight at the vets recently. I was so worried!
hit:11355_conv:22710,anxious,My cat had to stay overnight at the vet recently. They had to keep her for x-rays_comma_ I was so worried.,I am so sorry to hear. I have a cat that I love very much. How is the cat doing now?
hit:9444_conv:18889,jealous,My friend got to meet adam scott. He is one of my favorite actors.,My friend recently got to meet adam scott. He is one of my favorite actors.
hit:9444_conv:18889,jealous,My friend got to meet adam scott. He is one of my favorite actors.,Wow_comma_ I bet he was really surprised he got to meet him. What did he think of him in person?
hit:2762_conv:5525,disappointed,I didn't save up enough for a vacation this year.,I blew my budget a little this year and had some financial emergencies so I won't be able to go on a vacation this summer afterall_comma_ it's no fun.
hit:2762_conv:5525,disappointed,I didn't save up enough for a vacation this year.,"That sucks! I cant save money at all I always overspend even just for groceries. I hope you can save up atleast al ittle money and take like a ""daycation"" ! "
hit:5304_conv:10608,annoyed,I have this one co worker who is so lazy and it just makes me so irritate because I have to do extra work.,I don't understand why people come to work to just not do their jobs I have a coworker like this.
hit:5304_conv:10608,annoyed,I have this one co worker who is so lazy and it just makes me so irritate because I have to do extra work.,Oh man..I have had those too..and where I am the one getting crap even though I do my job and everyone elses..I HATE sitting around at work...I either want to work or go home. I hope your boss knows your co-worker is lazy?
hit:4050_conv:8101,furious,I ordered a gift for a friend and it says it was delivered but I never received it. Now the company says it takes 14 days for a refund.,I ordered a gift for a friend and it says it was delivered but I never received it. Now the company says it takes 14 days for a refund
hit:4050_conv:8101,furious,I ordered a gift for a friend and it says it was delivered but I never received it. Now the company says it takes 14 days for a refund.,"Don't you hate how ""customer service"" has no service anymore?  Did you get the refund at least?"
hit:12315_conv:24631,excited,This sounds weird_comma_ but I'm excited because I'll have some free time tomorrow to do some deep cleaning on my apartment. It's been messy since I've been gone most of the summer. I want to get it clean before school starts so I can enjoy it being fresh during the semester.,This sounds weird_comma_ but I'm excited because I'll have some free time tomorrow to do some deep cleaning on my apartment. It's been messy since I've been gone most of the summer. I want to get it clean before school starts so I can enjoy it being fresh during the semester
hit:12315_conv:24631,excited,This sounds weird_comma_ but I'm excited because I'll have some free time tomorrow to do some deep cleaning on my apartment. It's been messy since I've been gone most of the summer. I want to get it clean before school starts so I can enjoy it being fresh during the semester.,Nothing like a deep clean to breathe new life into your home! Its a great idea to get it out of the way now so it won't me on your mind once things start to get busy. 
hit:2152_conv:4305,embarrassed,when i spilled water all over myself at school and looked like i peed my pants , I spilled water all over myself at school and it looked like a peed on myself! ugh 
hit:2152_conv:4305,embarrassed,when i spilled water all over myself at school and looked like i peed my pants ,Oh geez! That would suck! I hope it wasn't a cold day? Could you drive home and get new clothes?
hit:12101_conv:24202,faithful,I know many people are already suffering for climate change but I believe if politicians take the right measures now_comma_ we can still save the planet.,I know many people are already suffering for climate change but I believe if politicians take the right measures now_comma_ we can still save the planet
hit:12101_conv:24202,faithful,I know many people are already suffering for climate change but I believe if politicians take the right measures now_comma_ we can still save the planet.,I could not agree more with you. but it seems like a lot of politicians either don't care or are not putting enough resources into combating climate change.
hit:10933_conv:21867,nostalgic,I recently got together with some old college buddies and we just spend a weekend sitting around talking about the good ole times.,My and some old friends from college recently got together. It's always great to see those guys again.
hit:10933_conv:21867,nostalgic,I recently got together with some old college buddies and we just spend a weekend sitting around talking about the good ole times.,I bet it is! I love getting together with friends_comma_ especially if it has been a while...which it seems to be the older I get.
hit:7645_conv:15291,excited,I've felt excited when I found out I had won a place on a prestigious creative writing course_comma_ taught by someone who I knew could help me in ways that I would I not be able to through self-study alone. ,I've felt excited when I found out I had won a place on a prestigious creative writing course_comma_ taught by someone who I knew could help me in ways that I would I not be able to through self-study alone.
hit:7645_conv:15291,excited,I've felt excited when I found out I had won a place on a prestigious creative writing course_comma_ taught by someone who I knew could help me in ways that I would I not be able to through self-study alone. ,You are so lucky to be talented enough to achieve such an honor. Was it as wonderful as you had imagined it would be?
