conv_id,emotion,situation,utterance
hit:12153_conv:24306,nostalgic,An actual ice cream man came through my neighborhood recently_comma_ I didn't know they still exist! Seeing the kids come running out to the truck made me miss being little and excited about the ice cream man.,An actual ice cream man came through my neighborhood! I didn't think they still exist.
hit:12153_conv:24306,nostalgic,An actual ice cream man came through my neighborhood recently_comma_ I didn't know they still exist! Seeing the kids come running out to the truck made me miss being little and excited about the ice cream man.,I don't think that I have seen/heard one of those since the 90s... Possibly the early 2000's at the earliest! Crazy_comma_ I didn't know that they still exist either!
hit:11781_conv:23563,disappointed,I accidentally bounced a check today.  I am so upset I did that.,I accidentally bounced a check today.
hit:11781_conv:23563,disappointed,I accidentally bounced a check today.  I am so upset I did that.,What a bummer. Did you have any sort of coverage for it? And how did you do it accidentally?
hit:1514_conv:3028,impressed,I recently visited a new restaurant in town. I didn't have high expections but it was great!,I didn't have high expectations for this new restaurant in town but my friend and I had dinner there last week and it was better than I thought it would be!
hit:1514_conv:3028,impressed,I recently visited a new restaurant in town. I didn't have high expections but it was great!,That's always a positive in my book_comma_ what kind of food was it?  What were your reservations about the restaurant before going?
hit:3729_conv:7459,jealous,My girlfriend has a new yoga instructor. The guy is in such good shape and I feel uncomfortable about my girlfriend going to his classes. ,My girlfriend has a new yoga instructor names Mark. He is such good shape_comma_ I feel a bit weird about her going to his classes.
hit:3729_conv:7459,jealous,My girlfriend has a new yoga instructor. The guy is in such good shape and I feel uncomfortable about my girlfriend going to his classes. ,Don't worry bout that.  She has to have some sort of fantasy in her life.  Don't you have any ever?
hit:2182_conv:4365,grateful,so glad i can have food on the pot and groceries in the fridge,there was a time i had no food to eat now i'm so glad i can afford food and my pantry is stocked to the brim
hit:2182_conv:4365,grateful,so glad i can have food on the pot and groceries in the fridge,Oh man! I so understand that! Did you have to eat ramen and $1 meals? I did! It was awful! I am so glad you are in a better place now
hit:4873_conv:9747,disappointed,I got passed over for a promotion at work. The guy that got it was qualified_comma_ but I really wanted the job.,Recently_comma_ I got passed over for a promotion at my job.
hit:4873_conv:9747,disappointed,I got passed over for a promotion at work. The guy that got it was qualified_comma_ but I really wanted the job.,Aw man_comma_ that sucks. Promotions usually aren't given fairly in my experience. Was that the case for you too?
hit:11534_conv:23068,ashamed,I went to work today and noticed that my coworkers would laugh every so often. I had no idea why until I returned home and noticed that I had a giant candy stuck in the back of my hair all day!,All day at work my coworkers would laugh when I'd pass by. I had no idea what was going on until I got home and noticed I had a giant candy stuck in the back of my hair!
hit:11534_conv:23068,ashamed,I went to work today and noticed that my coworkers would laugh every so often. I had no idea why until I returned home and noticed that I had a giant candy stuck in the back of my hair all day!,Oh no!  They are mean to not have told you.  I would've told you.  How did it even get there?
hit:8994_conv:17988,devastated,In previous job_comma_ I was laid off. I felt like everything around me was failling apart. I felt terrible bad and cried.,In previous job_comma_ I was laid off. I felt like everything around me was failling apart. I felt terrible bad and cried.
hit:8994_conv:17988,devastated,In previous job_comma_ I was laid off. I felt like everything around me was failling apart. I felt terrible bad and cried.,Oh that is awful. I have been fired before it is just the worst. Have things gotten better since then?
hit:9472_conv:18945,guilty,I robbed my grand parents once because of my addiction to drugs. They didn't notice but I feel bad about it.,I robbed my grand parents once because of my addiction to drugs. They didn't notice but I feel bad about it.
hit:9472_conv:18945,guilty,I robbed my grand parents once because of my addiction to drugs. They didn't notice but I feel bad about it.,Now that is something I would imagine is hard to deal with. I hope you are in a better place.
hit:6025_conv:12051,grateful,I'm so grateful I have a working car to get around and run errands now.  Mine has been broken down for awhile.,I'm so grateful I have a working car to get around and run errands now!
hit:6025_conv:12051,grateful,I'm so grateful I have a working car to get around and run errands now.  Mine has been broken down for awhile.,That's wonderful!  I know how important that can be!  Our family of 4 only has one car so you need it to work!  What happened to yours?
