conv_id,emotion,situation,utterance
hit:1617_conv:3234,impressed,I had never eaten at an authentic Italian restaurant until today. It was awesome.,I had my first real Italian restaurant experience today.
hit:1617_conv:3234,impressed,I had never eaten at an authentic Italian restaurant until today. It was awesome.,That sounds like a lot of fun! I mean I haven't even really gone anywhere higher than Olive Garden myself_comma_ so I'm jealous. Did you go with anyone special?
hit:11970_conv:23940,faithful,I've always been loyal to my wife and children. They're my whole world.,I've always tried to be loyal and trustworthy to my wife and daughters.
hit:11970_conv:23940,faithful,I've always been loyal to my wife and children. They're my whole world.,Most people do not possess those qualities these days.  That is quite honorable of you.  Being faithful is quite important!
hit:8901_conv:17802,caring,I can start to see my mother showing early signs of dementia. I feel really helpless about it_comma_ since it shows how vulnerable they are. I try to help with small things_comma_ but it's sad knowing I won't be able to slow down the effects of it.,I can start to see my mother showing early signs of dementia. I feel really helpless about it_comma_ since it shows how vulnerable they are. I try to help with small things_comma_ but it's sad knowing I won't be able to slow down the effects of it.
hit:8901_conv:17802,caring,I can start to see my mother showing early signs of dementia. I feel really helpless about it_comma_ since it shows how vulnerable they are. I try to help with small things_comma_ but it's sad knowing I won't be able to slow down the effects of it.,That's very sad. My Grandma had that and it is devastating to experience it. I'm told that doing puzzles etc. keeps the brain active and maybe at least delays it.
hit:2403_conv:4806,impressed,Saw this guy ate 3 bowls of large pho. ,Saw this guy ate 3 bowls of large pho.
hit:2403_conv:4806,impressed,Saw this guy ate 3 bowls of large pho. ,Holy cow_comma_ that's impressive. I bet they had to be carried back home. Did they even break a sweat?
hit:12163_conv:24327,prepared,The house is all cleaned and ready for my guests. Wow_comma_ I was cleaning all day!,The house is all cleaned and ready for my guests. Wow_comma_ I was cleaning all day!
hit:12163_conv:24327,prepared,The house is all cleaned and ready for my guests. Wow_comma_ I was cleaning all day!,I was doing the same thing!  Hard work but so satisfying when you see the results!  Who is coming to stay?
hit:5995_conv:11990,sentimental,My mother passed away a while back. I still use all of her favorite cooking pots when I cook. Its a great reminder.,I still use all of my mothers cooking pots. She passed away a few years ago. Its a great reminder of her.
hit:5995_conv:11990,sentimental,My mother passed away a while back. I still use all of her favorite cooking pots when I cook. Its a great reminder.,That is so wonderful that you have something of hers.  I'm so sorry you lost her.  That is so difficult.  Did she love cooking?
hit:691_conv:1383,impressed,I love Masterchef_comma_ but Masterchef Jr is my favorite. Those kids are really good.,Do you watch Masterchef?
hit:691_conv:1383,impressed,I love Masterchef_comma_ but Masterchef Jr is my favorite. Those kids are really good.,I have a few times_comma_ my mom is really into cooking shows_comma_ so I watched them a lot growing up_comma_ and still catch a few now and then.
hit:9293_conv:18586,grateful,without the help of my friends I would still be depressed.,If my friends hadnt picked me up_comma_ id still be at rock bottom!
hit:9293_conv:18586,grateful,without the help of my friends I would still be depressed.,True friends can be tested at such situations. Good for you to have such friends. It is very rare to have such ones
hit:3028_conv:6057,nostalgic,I miss the time when I was young and I can do a lot of sport.,I miss the time when I was young and I can do a lot of sport.
hit:3028_conv:6057,nostalgic,I miss the time when I was young and I can do a lot of sport.,I hear you! How old are you? As we get older_comma_ all kinds of stuff doesn't work the same
hit:4101_conv:8203,annoyed,My cat decided to scratch my face as I was trying to give him a bath. Obviously he wasn't too fond of it,My cat decided to scratch my face as I was trying to give him a bath
hit:4101_conv:8203,annoyed,My cat decided to scratch my face as I was trying to give him a bath. Obviously he wasn't too fond of it,Oh_comma_ I've been there! I looked like a person who cut when I used to give a lot of cat baths! Did you clean it right away? (cat scratch fever)
