conv_id,emotion,situation,utterance
hit:1535_conv:3070,apprehensive,I am a little nervous.  I am starting a new job on Friday.,I am a little nervous. I am starting a new job on Friday
hit:1535_conv:3070,apprehensive,I am a little nervous.  I am starting a new job on Friday.,Oh man_comma_ I know the nerves can be rough_comma_ but I'm sure you're excited as well. But yea_comma_ throwing yourself into a group of new people can be rough.
hit:12405_conv:24810,apprehensive,My current employer is having big financials problem. I am afraid that the company will go into bankruptcy.,My current employer is having big financials problem. I am afraid that the company will go into bankruptcy.
hit:12405_conv:24810,apprehensive,My current employer is having big financials problem. I am afraid that the company will go into bankruptcy.,That sounds really frustrating to deal with. You sound like you're self-aware and anticipating the problem_comma_ though. Perhaps you've already started preparing to look elsewhere?
hit:8239_conv:16478,furious,I've been waiting all day for this maintenance guy to come. They guaranteed me he would come within this 3-hour window_comma_ and that it would be today. Looks like it'll be neither. Love wasting time!,I've been waiting all day for this maintenance guy to come. They guaranteed me he would come within this 3-hour window_comma_ and that it would be today. Looks like it'll be neither. Love wasting time!
hit:8239_conv:16478,furious,I've been waiting all day for this maintenance guy to come. They guaranteed me he would come within this 3-hour window_comma_ and that it would be today. Looks like it'll be neither. Love wasting time!,gosh that is horrible! Did you try to call the company? next time chooe a company that guarantees they will come or the service is free
hit:3984_conv:7968,lonely,I moved away from my home town last year and I regret it.,I moved away from my home town last year for a new job. I sort of regret it since I don't have many people to talk to.
hit:3984_conv:7968,lonely,I moved away from my home town last year and I regret it.,I know how you feel.  I moved about 3 hours away from my hometown for school and stayed for 3 years and hated it.  I moved back to my hometown and am so happy now.  I'm sorry you're having a tough time.  Have you gotten out and tried to meet people?
hit:10644_conv:21288,terrified,I went to six flags last year and got on a roller coaster for the first time. And when it stated I was ok but as went on I was scared to death.,Have you ever been to Six flags?
hit:10644_conv:21288,terrified,I went to six flags last year and got on a roller coaster for the first time. And when it stated I was ok but as went on I was scared to death.,I have been to Six Flags as a matter of fact.  I cant say that I enjoyed it much_comma_ as I hate to ride rides.  WHat about you?
hit:8177_conv:16355,excited,I got approved to adopt a dog!,I got approved to adopt a dog!
hit:8177_conv:16355,excited,I got approved to adopt a dog!,Yay!  I love dogs!  Do you have any you want to get specifically or are you just going to look until you find one that clicks?
hit:1910_conv:3821,annoyed,I am so tired of being late for school every day. It is because I have to wait for my sister to get ready and she takes forever! I would rather ride the bus!,I am so sick of being late for school everyday. It is all because of my sister!
hit:1910_conv:3821,annoyed,I am so tired of being late for school every day. It is because I have to wait for my sister to get ready and she takes forever! I would rather ride the bus!,It is so frustrating when someone else's issues affect your life.  What does she do to make you late?
hit:5930_conv:11861,content,My fiance took a new job about a year ago_comma_ and he would eventually get his own work vehicle after the 6 months of training. After that long time of him having the car all day I am happy that his training is over and he gets his work truck and I get the car back!,My fiance took a new job about a year ago_comma_ and he would eventually get his own work vehicle after the 6 months of training. After that long time of him having the car all day I am happy that his training is over and he gets his work truck and I get the car back!
hit:5930_conv:11861,content,My fiance took a new job about a year ago_comma_ and he would eventually get his own work vehicle after the 6 months of training. After that long time of him having the car all day I am happy that his training is over and he gets his work truck and I get the car back!,Nice!  Six months is a long time to be car-less.  I'm sure you have a new sense of freedom to do what you want and need to do while he's at work now.
hit:8165_conv:16331,lonely,my dog is over at the vet for 4 days and it makes the house feel super lonly_comma_ i really am looking forward to my dog comming back,my dog is over at the vet for 4 days and makes the house feel so alone'
hit:8165_conv:16331,lonely,my dog is over at the vet for 4 days and it makes the house feel super lonly_comma_ i really am looking forward to my dog comming back,Awww_comma_ I totally know that feeling. I hate even going on vacation and not being able to bring my dog along. She is family!
hit:7322_conv:14645,angry,Every time I was the Phantom Menace_comma_ I get so mad. What was George Lucas thinking?!,I'm so made at George Lucas. How could he think something like the Phantom Menace would be a good idea for a movie!
hit:7322_conv:14645,angry,Every time I was the Phantom Menace_comma_ I get so mad. What was George Lucas thinking?!,it made him a ton of money so i think thats all that mattered to him at that point cause i agree it was crap.
