conv_id,emotion,situation,utterance
hit:9783_conv:19567,proud,A time I really felt I had made an achievement was when I was promoted to a Team Leader at work.,When I was promoted to Team Leader at work_comma_ I really felt like all my hard work had paid off_comma_ to some extent_comma_ and I gave myself a little pat on the back.
hit:9783_conv:19567,proud,A time I really felt I had made an achievement was when I was promoted to a Team Leader at work.,You must have really proud of yourself. Its good to acknowledge your own achievements from time to time.
hit:11157_conv:22315,guilty,I lost my girlfriend to suicide. I wish I could have done something to stop it from happening.,A few years ago I lost someone dear to me tragically. It broke my heart and left me feeling like I should have been able to stop it.
hit:11157_conv:22315,guilty,I lost my girlfriend to suicide. I wish I could have done something to stop it from happening.,I am so sorry to hear about that. It is very hard to lose a loved one but treasure the memories of that person_comma_ especially the good memories. 
hit:11562_conv:23125,afraid,With all the climate change happening in the word_comma_ I don't know what's going to happen where I live_comma_ specially since i live near the coast,With all the climate change happening in the word_comma_ I don't know what's going to happen where I live_comma_ specially since i live near the coast
hit:11562_conv:23125,afraid,With all the climate change happening in the word_comma_ I don't know what's going to happen where I live_comma_ specially since i live near the coast,It's very scary! I live near the coast too! I don't know if my home will still be here in 50 years.
hit:3774_conv:7549,joyful,I was singing in the shower.,This morning I woke up and I was in such a good mood that I just started singing in the shower.
hit:3774_conv:7549,joyful,I was singing in the shower.,That's awesome!  I wish I could wake up that way every morning.  Did something specific make you feel that way?
hit:7911_conv:15823,annoyed,My friend is literally changing his moving day_comma_ so that I can help.  I had to work on the first day_comma_ so he changed it...,My friend asked me to help him move one day_comma_ but I was working that day.
hit:7911_conv:15823,annoyed,My friend is literally changing his moving day_comma_ so that I can help.  I had to work on the first day_comma_ so he changed it...,as a matter of fact my friend asked me help him move recently _comma_ but i was busy at work too he understood 
hit:3924_conv:7848,disappointed,I was hoping to go out with my friend's this weekend_comma_ but it was raining all weekend.,I was hoping to go out with my friend's this weekend_comma_ but it was raining all weekend.
hit:3924_conv:7848,disappointed,I was hoping to go out with my friend's this weekend_comma_ but it was raining all weekend.,It's been raining a lot here_comma_ too_comma_ I know that feeling! Did you manage to find something interesting to do inside instead?
hit:6700_conv:13401,sentimental,My neighbor just had a baby and thinking about a friend that recently passed away I had to go grab bagels to take to the hospital. She always did that when someone had a baby.,I just took visited my friend in the hospital that had a baby. I love being around new borns. 
hit:6700_conv:13401,sentimental,My neighbor just had a baby and thinking about a friend that recently passed away I had to go grab bagels to take to the hospital. She always did that when someone had a baby.,Ah_comma_ that's awesome_comma_ it's always a joy to see a new born baby experiencing it's first view of the world!
hit:9463_conv:18927,grateful,Man I woke up feeling great today.  And I'm just thankful for my mental and physical health in general.  I'm the best I've been in a while,Woke up feeling awesome.  I'm thankful for my mental and physical health in general. Know some friends who aren't as lucky
hit:9463_conv:18927,grateful,Man I woke up feeling great today.  And I'm just thankful for my mental and physical health in general.  I'm the best I've been in a while,I'm glad you're feeling well_comma_ it's always important to make your health a priority_comma_ without our health we have nothing!
hit:8097_conv:16195,excited,I can't wait for my new laptop to arrive.,I can't wait for my new laptop to arrive
hit:8097_conv:16195,excited,I can't wait for my new laptop to arrive.,I bet your so excited! I just got one last month too and it makes my life so much easier!
hit:12144_conv:24289,apprehensive,I used to be nervous if someone tried to confront me or start a fight...but since I've taken up boxing mma and wrestling I really don't fear anybody,I used to get nervous and anxious whenever someone would try to start a fight or argument with me...now I don't ever back down_comma_ and it helps I've been boxing and wrestling for 5 years
hit:12144_conv:24289,apprehensive,I used to be nervous if someone tried to confront me or start a fight...but since I've taken up boxing mma and wrestling I really don't fear anybody,I am glad to hear that. It can take a lot for some people to be confident like that. I am glad you got over your issues with it.
