conv_id,emotion,situation,utterance
hit:3771_conv:7542,impressed,I could not believe how well my friend's niece did at her dance recital,I went to my friend's niece's dance recital this weekend. I could not believe how well she did.
hit:3771_conv:7542,impressed,I could not believe how well my friend's niece did at her dance recital,Ive never been to one of those.  Is she really young or is she like a professional dancer?
hit:4287_conv:8574,jealous,My younger sister is getting married before I am.,My younger sister is getting married before I am_comma_ I can't believe it.
hit:4287_conv:8574,jealous,My younger sister is getting married before I am.,Do you feel negative about it_comma_ or positive? It's hard to tell from your sentence. Maybe you feel both ways. If I were in your shoes_comma_ I could see how you would start to feel some more pressure in that situation. I was always the youngest child_comma_ so I never had pressure on me to accomplish anything by a certain time. If you're not happy about it_comma_ hopefully you can turn it into a positive so that your sister doesn't get any undue negativity.
hit:11144_conv:22289,content,I'm happy with my life at the moment. I have a wife_comma_ kids and a dog who I love very much.,These days I feel like I got it all. I'm not rich by any means but I am enriched by a loving wife_comma_ children and a dog.
hit:11144_conv:22289,content,I'm happy with my life at the moment. I have a wife_comma_ kids and a dog who I love very much.,I think I have a problem with jealousy because it's starting all over again. What sort of dog do you have?
hit:10891_conv:21783,anxious,My best friend is coming to visit next week.  I am so excited to see her because it's been a long time.,I have a friend flying in from the other side of the country next week.
hit:10891_conv:21783,anxious,My best friend is coming to visit next week.  I am so excited to see her because it's been a long time.,wow_comma_ is it the first time you're gonna see him? is he going to stay at your place?
hit:8961_conv:17923,prepared,I had just packed a roadside emergency kit in my car when a snowstorm hit and stranded me on a back road.,I am so glad that I decided to pack a kit for my car in case of bad winter weather.
hit:8961_conv:17923,prepared,I had just packed a roadside emergency kit in my car when a snowstorm hit and stranded me on a back road.,I bet you are_comma_ that's some pretty good foresight right there! Did you have to use it this past winter?
hit:10677_conv:21354,nostalgic,I visited my college campus today and memories came flooding back. I miss it.,I visited my college campus today and memories came flooding back. I miss it.
hit:10677_conv:21354,nostalgic,I visited my college campus today and memories came flooding back. I miss it.,I'd imagine so. What a great time of our lives college can be. The world just seems right_comma_ being surrounded by your peers_comma_ all sharing similar goals. 
hit:9747_conv:19495,devastated,i was crushed when i couldnt get the day off,i was crushed when i couldnt get the day off
hit:9747_conv:19495,devastated,i was crushed when i couldnt get the day off,Oh no_comma_ that sucks man. I hope you didn't miss out on too much when you had to go into work.
hit:4071_conv:8142,excited,I just bought plane tickets to Las Vegas for this fall.  I have never been and I am very happy about it,So I just bought plane tickets and book a hotel.  I am going to Vegas for the first time this fall!
hit:4071_conv:8142,excited,I just bought plane tickets to Las Vegas for this fall.  I have never been and I am very happy about it,im so excited for you_comma_ my friend has gone twice he said a lot of people are passed out drunk on the street _comma_ and even taco bell sells alcohol very weird place
hit:886_conv:1773,anxious,I feel very nervous during interviews,I'm really scared of going in for interviews_comma_ I always get too nervous and clam up
hit:886_conv:1773,anxious,I feel very nervous during interviews,Oh I totally hear you there. You cant just like be yourself_comma_ and not that being yourself is bad or anything
hit:9613_conv:19227,hopeful,My girlfriend moved in this past weekend.  We have a ton of boxes to unpack but I am hopeful we will get it done in the next couple weeks,My girlfriend moved in over the weekend.  We have a ton of boxes to unpack but I am thinking it should be something that can be done in the next couple weeks.
hit:9613_conv:19227,hopeful,My girlfriend moved in this past weekend.  We have a ton of boxes to unpack but I am hopeful we will get it done in the next couple weeks,Thats nice to hear. Hopefully it makes you two happy. I would just unpack the necessities first and move from there.
