conv_id,emotion,situation,utterance
hit:6543_conv:13086,anxious,I am expecting a friend that I haven't seen in years to come over tomorrow. I'm a bit nervous about seeing him and how much may have changed since the last time.,I'm expecting a friend who I haven't seen in years to come over tomorrow. I'm a bit nervous about seeing him as I'm not really sure how much may have changed since the last time I saw him.
hit:6543_conv:13086,anxious,I am expecting a friend that I haven't seen in years to come over tomorrow. I'm a bit nervous about seeing him and how much may have changed since the last time.,It's exciting that you will be able to reconnect with an old friend. I understand that you're nervous_comma_ though!
hit:5044_conv:10088,terrified,i walked out of the house and heard a rustling in the brush and found a deer running up the hill,i walked out of the house and heard a rustling in the brush and found a deer running up the hill
hit:5044_conv:10088,terrified,i walked out of the house and heard a rustling in the brush and found a deer running up the hill,How beautiful! They are so much bigger when I see them than I think they are going to be.  My parents house has some land and when I bring my kids over there_comma_ we can see the young bucks eating the grass in their backyard.  
hit:8247_conv:16495,disgusted,Sometimes my boyfriend cooks_comma_ and the food tastes pretty gross,Sometimes my boyfriend cooks_comma_ and the food tastes pretty gross
hit:8247_conv:16495,disgusted,Sometimes my boyfriend cooks_comma_ and the food tastes pretty gross,Hahahahaha.  I'm sorry for laughing_comma_ but that struck me as funny.  Is he trying his best_comma_ or is he trying to get the point across that he shouldn't be cooking?
hit:11137_conv:22275,caring,i had to leave my kids with my grandma _comma_my hubby and I went to Bahamas for the summer holiday,had to leave my kids with my grandma _comma_my hubby and I went to Bahamas for the summer holiday
hit:11137_conv:22275,caring,i had to leave my kids with my grandma _comma_my hubby and I went to Bahamas for the summer holiday,That sounds like fun. Sometimes its good to get away without the kids. I'm sure they are having  a blast at grandma's house.
hit:5003_conv:10006,afraid,My neighbors dog dug a hole under my fence and chased me back into my house!,I was out working in my garden when I noticed my neighbor's dog had dug a hole under my fence and was running right at me barking!
hit:5003_conv:10006,afraid,My neighbors dog dug a hole under my fence and chased me back into my house!,Did it scare you or did you make a new friend? It happened to me a few years ago and it turns out the dog just needed a friend. 
hit:4955_conv:9911,confident,I had coached my pitchers all year_comma_ i just knew they would dominate the seires.,I worked hard coaching my pitchers all year_comma_ only to get smacked in the playoffs
hit:4955_conv:9911,confident,I had coached my pitchers all year_comma_ i just knew they would dominate the seires.,That's a real bummer. I am sure they benefited from your coaching even if they didn't win in the playoffs.
hit:1191_conv:2383,hopeful,When I saw my brother come home from college_comma_ it gave me a good feeling. It made me think I could do the same,I got happy when my brother came home from college. It made me think I could go to college one day too
hit:1191_conv:2383,hopeful,When I saw my brother come home from college_comma_ it gave me a good feeling. It made me think I could do the same,Well you should always think that. It's not hard once you get into the groove of it.
hit:1941_conv:3882,grateful,A kid I helped pay tuition fees got a job with Google and just bought me a car,The father had no money to pay his fees so I helped him now he bought me a car
hit:1941_conv:3882,grateful,A kid I helped pay tuition fees got a job with Google and just bought me a car,Wow_comma_ how did he get so much money if he didn't have money to pay his fees_comma_ and what were the fees for?
hit:2803_conv:5606,confident,I have felt this way when applying to grad school.,I am applying to grad school.
hit:2803_conv:5606,confident,I have felt this way when applying to grad school.,Oh wow! Congratulations! I also recently applied for grad school to study Computer Science (seriously). What are you wanting to study?
hit:6267_conv:12534,proud,I had an extremely grueling spring semester this year. All said and done_comma_ I pulled 4 As and 2 Bs.,Last semester was probably the largest challenge of my life. I go to school for electrical engineering_comma_ and I took 6 courses.
hit:6267_conv:12534,proud,I had an extremely grueling spring semester this year. All said and done_comma_ I pulled 4 As and 2 Bs.,that is a lot.. most i ever took at one time was 5 classes and i cried at least twice that semester.
