conv_id,emotion,situation,utterance
hit:11566_conv:23132,prepared,I have all my ingredients for my dinner party and now I am getting ready to prepare a feast! ,I have all my ingredients for my dinner party and now I am getting ready to prepare a feast!
hit:11566_conv:23132,prepared,I have all my ingredients for my dinner party and now I am getting ready to prepare a feast! ,You're much braver than me. I would never host a dinner party.. don't feel like I'm good at planning_comma_ and don't feel like I'm interesting enough to talk to a bunch of different people.
hit:9728_conv:19457,sentimental,Today when I went into my roommate's office to fix the internet_comma_ I noticed the collar of his old cat that passed away. I miss her. ,Today when I went into my roommate's office to fix the internet_comma_ I noticed the collar of his old cat that passed away. I miss her.
hit:9728_conv:19457,sentimental,Today when I went into my roommate's office to fix the internet_comma_ I noticed the collar of his old cat that passed away. I miss her. ,I am so sorry to hear that. We need memories of our fur babies to help us in our grief. 
hit:2379_conv:4759,hopeful,"Have to go to the doctor tomorrow to see if I have strep throat. I hate when they have to swab the back of your mouth to ""make sure"" that it's strep so they can treat you. Really hoping to avoid that this time around.","Have to go to the doctor tomorrow to see if I have strep throat. I hate when they have to swab the back of your mouth to ""make sure"" that it's strep so they can treat you. Really hoping to avoid that this time around."
hit:2379_conv:4759,hopeful,"Have to go to the doctor tomorrow to see if I have strep throat. I hate when they have to swab the back of your mouth to ""make sure"" that it's strep so they can treat you. Really hoping to avoid that this time around.","Sorry to hear that_comma_ the trouble of going to the doctor just to ""confirm"" its strep throat is the worst. It's like I know I have it_comma_ just help me!"
hit:12172_conv:24345,anxious,I sent an email to a family member I hadn't spoken to in a long time_comma_ I really didn't know what they'd say or how they handle it. Waiting for a response made me quite nervous.,I wrote an email to a family member I haven't spoken to in a long time and I wasn't sure how they'd take everything I said in it.
hit:12172_conv:24345,anxious,I sent an email to a family member I hadn't spoken to in a long time_comma_ I really didn't know what they'd say or how they handle it. Waiting for a response made me quite nervous.,Oh wow! That is a brave thing to do! Your letter must have been a little intense if you are worried how they will take it. How did it work out?
hit:2024_conv:4048,afraid,when i was going for an interview i had a crazy feeling,i had some weak feeling on my interview day
hit:2024_conv:4048,afraid,when i was going for an interview i had a crazy feeling,I'm sorry_comma_ interviews can be rough. Was there a part of the interview day that you found especially difficult?
hit:6682_conv:13365,sad,My cat got cancer and had to be put to sleep.,I once had a fluffy cat named Leo_comma_ but he got lymphoma and I had to have him put to sleep.
hit:6682_conv:13365,sad,My cat got cancer and had to be put to sleep.,Oh_comma_ I am so sorry. It has to be the most difficult thing to have to do. I had to do that with my gorgeous lab - I still miss him!
hit:9655_conv:19310,devastated,My mother died yesterday it was just so sudden. I am just a mess right now and can't believe it's happening.,My mother died last night my friend. I am pretty out of it right now.
hit:9655_conv:19310,devastated,My mother died yesterday it was just so sudden. I am just a mess right now and can't believe it's happening.,oh im so sorry_comma_ please don't worry_comma_ i know it's tough but i learned that death is only a beginning not the end 
hit:896_conv:1793,disappointed,My AC went out,My AC went out yesterday.
hit:896_conv:1793,disappointed,My AC went out,Oh no_comma_ that's horrible.. July is not the time for that! Do you have someone ready to come out and fix it yet?
hit:9214_conv:18429,joyful,I was so elated to find out that my dog could speak to me! Even better_comma_ he has an adorable Cockney accent. We've been chatting about philosophy for three days now.,So I have some amazing news. I recently discovered that my dog can speak to me! Isn't that incredible?
hit:9214_conv:18429,joyful,I was so elated to find out that my dog could speak to me! Even better_comma_ he has an adorable Cockney accent. We've been chatting about philosophy for three days now.,Wow_comma_ is that true? That's pretty amazing! I'd say science should know about your dog.
hit:5088_conv:10177,disappointed,I finally got around to watching the Black Panther movie.  It was a real let down for me I I don't get what all the hype was about.,I finally got around to watching the Black Panther movie. It was a real let down for me I I don't get what all the hype was about.
hit:5088_conv:10177,disappointed,I finally got around to watching the Black Panther movie.  It was a real let down for me I I don't get what all the hype was about.,I still have yet to see it. I hate how hype affects things. I wish you could always get to things before they become really pumped up.I bet if you watch again sometime later_comma_ you'll find it a little better.
